id,label
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,8
82,8
83,8
84,8
85,8
86,8
87,8
88,8
89,8
90,8
91,9
92,9
93,9
94,9
95,9
96,9
97,9
98,9
99,9
100,9
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,6
170,6
171,7
172,7
173,7
174,7
175,7
176,7
177,7
178,7
179,7
180,7
181,8
182,8
183,8
184,8
185,8
186,8
187,8
188,8
189,8
190,8
191,9
192,9
193,9
194,9
195,9
196,9
197,9
198,9
199,9
200,9
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,6
269,6
270,6
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,7
279,7
280,7
281,8
282,8
283,8
284,8
285,8
286,8
287,8
288,8
289,8
290,8
291,9
292,9
293,9
294,9
295,9
296,9
297,9
298,9
299,9
300,9
301,0
302,0
303,0
304,0
305,0
306,1
307,1
308,1
309,1
310,1
311,2
312,2
313,2
314,2
315,2
316,3
317,3
318,3
319,3
320,3
321,4
322,4
323,4
324,4
325,4
326,5
327,5
328,5
329,5
330,5
331,6
332,6
333,6
334,6
335,6
336,7
337,7
338,7
339,7
340,7
341,8
342,8
343,8
344,8
345,8
346,9
347,9
348,9
349,9
350,9
